ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Number_Object_Number,
13,120,12,562,347,1.032653141,0.550863965,1,0.6,0.657868906,4.404692564,4,2,1.186886724,1,2.828427125,3.676134597,90,15.14,0.923076923,0.954929659,0.079577472,7.07E-17,0.079577472,0.079577472,0.079577472,0.119366207,0.079577472,0.179049311,0.079577472,0.079577472,0.079577472,0.298415518,0.079577472,0.32825707,0.079577472,0.079577472,0.079577472,0.079577472,0.079577472,0.345664642,0.079577472,0.283494742,0.079577472,0.259870181,0.079577472,0.079577472,0.079577472,0.079577472,0.079577472,562.1666667,347,120,
13,121,8,545,348,0.981747704,0.570343016,1,0.666666667,0.785635425,3.550441361,3,1.414213562,1.103553391,1,2,2.916356057,0,11.312,0.888888889,1.131768484,0,0.125752054,0.125752054,0,1.14E-16,0.125752054,0.349311261,0.237531657,3.14E-17,2.55E-16,1.10E-16,0.187851833,0.498350732,0.349311261,0.374151172,7.85E-18,9.72E-17,6.28E-17,1.34E-16,0.386571128,0.040192357,0.305151417,0.048472328,0.237531657,3.14E-17,1.18E-16,1.10E-16,9.42E-17,1.37E-16,544.5,348,121,
13,122,4,568,351,1.178097245,0.916674408,1,0.666666667,1.571270851,3.322977808,2.236067977,1,1,1,0.707106781,1.327977808,-31.71747441,5.656,1,1.018591636,4.24E-17,0.203718327,0.455528028,4.00E-17,8.94E-17,0.529667651,0.668245799,0.503971308,1.41E-17,1.33E-16,6.91E-17,0.692642312,0.40946877,0.536147007,0.513111429,2.83E-17,6.52E-17,6.32E-17,4.44E-16,0.301503124,0.632688124,0.489143951,0.4887637,0.508608905,2.83E-17,1.37E-16,4.53E-17,4.46E-16,2.73E-16,568,350.5,122,
13,123,4,577,351,1.374446786,0.905623827,1,0.666666667,0.710010612,3.550441361,2.236067977,1,1,1,0.894427191,1.505678028,71.56505118,8.414,1.333333333,1.018591636,0.322106957,0.611154981,0.455528028,0.23227463,0.23227463,0.774129643,0.605698131,0.3182182,0.322106957,0.322106957,0.258007472,0.855616974,0.384374971,0.351530716,0.722669051,0.248836746,0.147512327,0.239702986,0.254744046,0.66004738,0.584261321,0.279391052,0.709733601,0.65814528,0.231456727,0.368343287,0.294266085,0.254123961,0.254491601,576.75,350.75,123,
13,124,21,552,352,1.128951555,0.801725367,1,0.75,0.786968953,6.764541139,6.08276253,2,1.269374012,1,3,4.043116132,-3.011996541,18.312,0.913043478,0.722649471,0.052157527,0.125556858,0.140880441,0.034574543,0.060290663,0.055426,0.071336086,0.06612693,0.036264566,0.030839902,0.03299882,0.142004287,0.069114633,0.095518187,0.05440321,0.03436911,0.031332695,0.036280051,0.020004834,0.122883942,0.121246577,0.101368238,0.067714127,0.044463759,0.036418913,0.037457004,0.034995456,0.065739653,0.028868841,552.1428571,352.6666667,124,
13,125,23,574,352,1.060710333,0.74139948,1,0.766666667,0.964368937,6.637907236,5.830951895,2.236067977,1.327965381,1,3.535533906,4.454460181,-56.69440742,17.312,0.93877551,0.861309104,0.12617851,0.037448222,0.137231592,0.048335605,0.050416742,0.068287934,0.084487746,0.047758293,0.04045902,0.048053202,0.011000185,0.097008655,0.085842824,0.063022892,0.030976486,0.030218275,0.03105749,0.046667964,0.039749771,0.066404785,0.106780829,0.110725227,0.043898633,0.042289481,0.031463397,0.029698813,0.077187235,0.045458182,0.038694433,573.9130435,352.6086957,125,
13,126,21,546,353,1.042109128,0.570144844,1,0.7,0.772391061,5.857046779,5.099019514,2.236067977,1.263962084,1,4,4.811822756,-77.73113576,18.484,0.84,0.962569096,0.066233525,0.012100869,0.093971473,0.040381979,0.073708443,0.088138327,0.112393419,0.088141701,0.02629134,0.084633519,0.108154453,0.151705642,0.124867181,0.033660509,0.056246289,0.037520069,0.069004653,0.120525138,0.050212397,0.161837481,0.090574946,0.043476589,0.067199235,0.052114769,0.031938688,0.052291172,0.16918545,0.047427296,0.049905245,546,353.4285714,126,
13,127,7,567,355,1.172372769,0.882300129,1,0.875,0.910704764,4.239986269,3.16227766,1,1,1,1,1.995707455,-81.65037788,9.828,1,0.891267681,0.127323954,0.076394373,0.314982068,0.127323954,0.127323954,0.402343696,0.314982068,0.149788394,0.127323954,0.127323954,0.127323954,0.565318358,0.314982068,0.221203303,0.179668131,0.127323954,0.127323954,0.127323954,0.127323954,0.17417917,0.314982068,0.132183057,0.179668131,0.328474877,0.127323954,0.127323954,0.127323954,0.127323954,0.127323954,567.4285714,353.2857143,127,
13,128,9,561,355,1.051507006,0.554916741,1,0.75,0.894880844,3.86728877,3.16227766,1.414213562,1.046023729,1,2,3.217220309,7.627559352,11.242,0.947368421,1.14591559,0.234773772,0.331042282,0.127323954,0.234773772,0.259940514,0.656991605,0.127323954,0.199667345,0.234773772,0.259940514,0.136980694,0.819966267,0.127323954,0.283382738,0.127323954,0.234773772,0.259940514,0.136980694,0.101083096,0.428827079,0.127323954,0.124018959,0.127323954,0.54033601,0.234773772,0.259940514,0.136980694,0.101083096,0.304176186,561.3333333,355.2222222,128,
13,129,13,556,356,1.304111288,0.883039543,1,0.722222222,0.719327579,6.047448043,5.099019514,1.414213562,1.063725163,1,2,2.838058832,-85.14165709,15.07,0.866666667,0.636619772,0.082616341,0.086640561,0.166813892,0.061959503,0.042988295,0.13590108,0.093483679,0.119623558,0.048052077,0.068343102,0.048686622,0.19153649,0.152648125,0.083523673,0.070069665,0.067399054,0.041146023,0.049915635,0.051110566,0.188902862,0.158748112,0.130691087,0.077681798,0.049417714,0.048031895,0.046783148,0.047617394,0.039310577,0.04770945,555.7692308,355.6923077,129,
13,130,25,570,357,1.079300439,0.491095122,1,0.694444444,0.71935029,6.335720479,5.830951895,2.236067977,1.315716889,1,4.91934955,5.519083826,-16.16509287,20.898,0.925925926,0.813667875,0.078237296,0.101106659,0.024549754,0.034380274,0.111845432,0.005669266,0.021294401,0.036717388,0.019701588,0.058861386,0.028983009,0.074075701,0.035998137,0.061648065,0.051239473,0.030452182,0.060512932,0.021340269,0.032454736,0.089642196,0.038183062,0.045083451,0.079818572,0.021009884,0.060315493,0.061394275,0.043140577,0.047268384,0.059950755,570,357.16,130,
13,131,13,576,362,1.069600048,0.778498139,1,0.866666667,0.760540426,5.138260779,4.123105626,2,1.185708736,1,2,3.225013517,0,14.656,0.962962963,0.916380018,0.078783802,0.004634341,0.206106233,0.082915971,0.007991728,0.136777634,0.156520215,0.018268133,0.066163294,0.049527881,0.129159098,0.265334536,0.116524057,0.077500081,0.036516714,0.017595183,0.105722469,0.219165815,0.176014563,0.239310325,0.121174585,0.015825522,0.090824327,0.007465444,0.001565651,0.094094243,0.225501927,0.241059883,0.095775164,575.3076923,362,131,
13,132,9,566,363,0.999793547,0.687567076,1,0.75,0.857562943,3.971038992,3.16227766,1.414213562,1.092047458,1,2,2.883454283,-69.69935268,11.484,0.947368421,1.14591559,0.306636688,0.331042282,0.127323954,0.306636688,0.082907352,0.656991605,0.127323954,0.199667345,0.306636688,0.082907352,0.117668277,0.819966267,0.127323954,0.283382738,0.127323954,0.306636688,0.082907352,0.117668277,0.271417116,0.428827079,0.127323954,0.124018959,0.127323954,0.54033601,0.306636688,0.082907352,0.117668277,0.271417116,0.24881588,566.1111111,363.3333333,132,
13,133,12,573,364,1.330813555,0.878545872,1,0.8,0.634688166,5.854068935,4.472135955,1.414213562,1.034517797,1,2,2.79624277,11.30993247,15.414,1.090909091,0.763943727,0.120790109,0.050929582,0.241580218,0.048316044,0.068329204,0.183346494,0.108037958,0.061327338,0.072474065,0.06640405,0.064501868,0.203718327,0.123182225,0.064106568,0.114540618,0.086729953,0.050729545,0.06295193,0.062102355,0.169086212,0.080674773,0.14528545,0.223857152,0.109194734,0.054784135,0.097197086,0.074543874,0.071391576,0.062623557,573.75,364.25,133,
13,134,6,568,370,1.221730476,0.906591195,1,0.75,1.286344414,4.085,3.16227766,1,1,1,1,1.723910679,-71.56505118,7.656,1,0.763943727,1.58E-17,0.050929582,0.254647909,7.07E-18,3.16E-17,0.275019742,0.254647909,0.249710809,1.58E-17,1.41E-17,4.42E-17,0.437994403,0.254647909,0.286142678,0.254647909,1.58E-17,6.32E-17,7.33E-17,2.91E-16,0.046855215,0.254647909,0.25913772,0.254647909,0.253961186,7.07E-18,2.00E-17,7.07E-18,2.91E-16,1.41E-16,567.5,369.5,134,
