1	37
1	39
1	43
1	44
1	45
1	48
1	51
1	53
1	59
1	64
1	67
1	73
1	77
1	81
1	86
1	89
1	90
1	92
1	93
1	97
1	101
1	103
2	43
2	47
2	48
2	50
2	51
2	55
2	59
2	62
2	64
2	68
2	70
2	74
2	81
2	86
2	88
2	98
2	101
3	41
3	43
3	45
3	46
3	47
3	48
3	50
3	52
3	56
3	57
3	59
3	62
3	63
3	67
3	69
3	87
3	90
3	91
3	97
3	98
4	43
4	45
4	46
4	47
4	48
4	49
4	52
4	55
4	56
4	60
4	62
4	65
4	67
4	76
4	83
4	85
4	86
4	88
4	92
4	96
4	99
4	103
4	104
4	107
4	108
5	36
5	41
5	42
5	43
5	45
5	48
5	50
5	52
5	54
5	55
5	61
5	64
5	67
5	71
5	76
5	83
5	86
5	88
5	90
5	95
5	99
5	101
6	41
6	44
6	45
6	48
6	50
6	51
6	53
6	56
6	58
6	61
6	67
6	70
6	71
6	74
6	81
6	86
6	89
6	93
6	96
6	104
7	37
7	41
7	46
7	47
7	50
7	51
7	53
7	60
7	63
7	64
7	74
7	79
7	82
7	88
7	92
7	93
7	95
7	99
8	40
8	44
8	46
8	47
8	50
8	51
8	52
8	53
8	55
8	58
8	61
8	63
8	70
8	85
8	90
8	92
8	97
8	101
9	44
9	45
9	48
9	49
9	50
9	52
9	55
9	59
9	62
9	70
9	80
9	85
9	88
9	91
9	99
9	101
10	50
10	53
10	54
10	55
10	56
10	59
10	61
10	63
10	65
10	69
10	71
10	72
10	86
10	88
10	93
10	96
11	44
11	46
11	50
11	52
11	55
11	63
11	65
11	67
11	78
11	79
12	46
12	47
12	51
12	53
12	55
12	57
12	60
12	62
12	63
12	66
12	71
12	77
12	80
12	95
12	96
13	39
13	43
13	46
13	50
13	52
13	54
13	62
13	63
13	66
13	70
13	104
14	39
14	46
14	50
14	57
14	64
14	66
14	71
14	85
14	94
15	48
15	56
15	62
15	63
15	67
15	73
15	75
15	78
15	81
15	91
15	94
15	108
16	40
16	50
16	52
16	54
16	56
16	59
16	61
16	86
16	88
16	103
